z,System #,Benchmark,System
0.7,31,17.2536,Uracil ...  Ethene
0.8,31,2.144,Uracil ...  Ethene
0.9,31,-2.57,Uracil ...  Ethene
0.95,31,-3.24,Uracil ...  Ethene
1,31,-3.38,Uracil ...  Ethene
1.05,31,-3.24,Uracil ...  Ethene
1.1,31,-2.96,Uracil ...  Ethene
1.25,31,-1.99,Uracil ...  Ethene
1.5,31,-0.93,Uracil ...  Ethene
2,31,-0.25,Uracil ...  Ethene
0.7,32,19.3439,Uracil ...  Ethyne
0.8,32,2.5194,Uracil ...  Ethyne
0.9,32,-2.79,Uracil ...  Ethyne
0.95,32,-3.56,Uracil ...  Ethyne
1,32,-3.74,Uracil ...  Ethyne
1.05,32,-3.59,Uracil ...  Ethyne
1.1,32,-3.29,Uracil ...  Ethyne
1.25,32,-2.23,Uracil ...  Ethyne
1.5,32,-1.04,Uracil ...  Ethyne
2,32,-0.27,Uracil ...  Ethyne
0.7,43,22.1765,Uracil ...  Neopentane
0.8,43,2.8011,Uracil ...  Neopentane
0.9,43,-2.87,Uracil ...  Neopentane
0.95,43,-3.6,Uracil ...  Neopentane
1,43,-3.7,Uracil ...  Neopentane
1.05,43,-3.49,Uracil ...  Neopentane
1.1,43,-3.15,Uracil ...  Neopentane
1.25,43,-2.05,Uracil ...  Neopentane
1.5,43,-0.92,Uracil ...  Neopentane
2,43,-0.23,Uracil ...  Neopentane
0.7,41,22.6252,Uracil ...  Pentane
0.8,41,2.4499,Uracil ...  Pentane
0.9,41,-3.83,Uracil ...  Pentane
0.95,41,-4.69,Uracil ...  Pentane
1,41,-4.84,Uracil ...  Pentane
1.05,41,-4.6,Uracil ...  Pentane
1.1,41,-4.08,Uracil ...  Pentane
1.25,41,-2.44,Uracil ...  Pentane
1.5,41,-0.98,Uracil ...  Pentane
2,41,-0.21,Uracil ...  Pentane
0.7,26,40.0197,Uracil ...  Uracil (pi-pi)
0.8,26,3.6735,Uracil ...  Uracil (pi-pi)
0.9,26,-7.86,Uracil ...  Uracil (pi-pi)
0.95,26,-9.5,Uracil ...  Uracil (pi-pi)
1,26,-9.82,Uracil ...  Uracil (pi-pi)
1.05,26,-9.43,Uracil ...  Uracil (pi-pi)
1.1,26,-8.69,Uracil ...  Uracil (pi-pi)
1.25,26,-6.07,Uracil ...  Uracil (pi-pi)
1.5,26,-3.1,Uracil ...  Uracil (pi-pi)
2,26,-0.99,Uracil ...  Uracil (pi-pi)
0.7,17,10.2402,Uracil ... Uracil (BP)
0.8,17,-8.6144,Uracil ... Uracil (BP)
0.9,17,-15.7,Uracil ... Uracil (BP)
0.95,17,-16.9,Uracil ... Uracil (BP)
1,17,-17.18,Uracil ... Uracil (BP)
1.05,17,-16.86,Uracil ... Uracil (BP)
1.1,17,-16.17,Uracil ... Uracil (BP)
1.25,17,-13.15,Uracil ... Uracil (BP)
1.5,17,-8.35,Uracil ... Uracil (BP)
2,17,-3.33,Uracil ... Uracil (BP)
0.7,3,4.3744,Water ... MeNH2
0.8,3,-3.726,Water ... MeNH2
0.9,3,-6.49,Water ... MeNH2
0.95,3,-6.87,Water ... MeNH2
1,3,-6.88,Water ... MeNH2
1.05,3,-6.65,Water ... MeNH2
1.1,3,-6.28,Water ... MeNH2
1.25,3,-4.92,Water ... MeNH2
1.5,3,-2.98,Water ... MeNH2
2,3,-1.14,Water ... MeNH2
0.7,2,5.1065,Water ... MeOH
0.8,2,-2.6002,Water ... MeOH
0.9,2,-5.19,Water ... MeOH
0.95,2,-5.55,Water ... MeOH
1,2,-5.57,Water ... MeOH
1.05,2,-5.38,Water ... MeOH
1.1,2,-5.08,Water ... MeOH
1.25,2,-3.94,Water ... MeOH
1.5,2,-2.39,Water ... MeOH
2,2,-0.95,Water ... MeOH
0.7,4,4.0343,Water ... Peptide
0.8,4,-4.6388,Water ... Peptide
0.9,4,-7.63,Water ... Peptide
0.95,4,-8.06,Water ... Peptide
1,4,-8.08,Water ... Peptide
1.05,4,-7.84,Water ... Peptide
1.1,4,-7.46,Water ... Peptide
1.25,4,-5.99,Water ... Peptide
1.5,4,-3.83,Water ... Peptide
2,4,-1.44,Water ... Peptide
0.7,18,4.8358,Water ... Pyridine
0.8,18,-3.5043,Water ... Pyridine
0.9,18,-6.39,Water ... Pyridine
0.95,18,-6.8,Water ... Pyridine
1,18,-6.83,Water ... Pyridine
1.05,18,-6.62,Water ... Pyridine
1.1,18,-6.27,Water ... Pyridine
1.25,18,-4.93,Water ... Pyridine
1.5,18,-3.01,Water ... Pyridine
2,18,-1.19,Water ... Pyridine
0.7,1,4.7623,Water ... Water
0.8,1,-2.2503,Water ... Water
0.9,1,-4.57,Water ... Water
0.95,1,-4.88,Water ... Water
1,1,-4.89,Water ... Water
1.05,1,-4.72,Water ... Water
1.1,1,-4.45,Water ... Water
1.25,1,-3.46,Water ... Water
1.5,1,-2.11,Water ... Water
2,1,-0.87,Water ... Water
